,analysisVersion,interfaceVersion,file,detectionType,cellType,sex,condition,sweep,sweepSpikeNumber,spikeNumber,include,userType,errors,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,myDateStr,fileIdx
0,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,0,0,True,0,"[{'Spike': 0, 'Seconds': 0.3653, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 0, 'Seconds': 0.3653, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 1.982<=8'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",93,0.36534120000000003,1.1889369331863615,-0.00013305764023327672,0.0,111,0.4360524,1.999562633941876,0.8106257007555144,70.71119999999998,,,88,90,7.8568,1.1817846143656647,1.1924578600523223,1.9819811358277357,,101,1.5716835636463409,0.01819618712449815,113,1.975772900808499,-0.0038351298850284135,,,,,,23.5704,"[{'halfHeight': 10, 'risingPnt': 96, 'fallingPnt': 292, 'widthPnts': 196, 'widthMs': 769.9664}, {'halfHeight': 20, 'risingPnt': 98, 'fallingPnt': 287, 'widthPnts': 189, 'widthMs': 742.4676000000001}, {'halfHeight': 50, 'risingPnt': 102, 'fallingPnt': 244, 'widthPnts': 142, 'widthMs': 557.8328}, {'halfHeight': 80, 'risingPnt': 106, 'fallingPnt': 207, 'widthPnts': 101, 'widthMs': 396.7684}, {'halfHeight': 90, 'risingPnt': 108, 'fallingPnt': 185, 'widthPnts': 77, 'widthMs': 302.4868}]",769.9664,742.4676000000001,557.8328,396.7684,302.4868,jan-12-2022,0
1,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,1,1,True,0,"[{'Spike': 1, 'Seconds': 1.3514, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 1, 'Seconds': 1.3514, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",344,1.3513696,1.1321557486789127,-0.0008559648128086187,0.0,397,1.5595748,1.964671277657666,0.8325155289787534,208.2052000000001,,,343,343,0.0,1.1326851295540232,1.1326851295540232,,,348,1.309735829954725,0.01876819115372231,399,1.948780862810401,-0.0015817553424865266,251.0,986.0284,1.014169571586376,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 347, 'fallingPnt': 547, 'widthPnts': 200, 'widthMs': 785.6800000000001}, {'halfHeight': 20, 'risingPnt': 348, 'fallingPnt': 540, 'widthPnts': 192, 'widthMs': 754.2528}, {'halfHeight': 50, 'risingPnt': 353, 'fallingPnt': 503, 'widthPnts': 150, 'widthMs': 589.26}, {'halfHeight': 80, 'risingPnt': 357, 'fallingPnt': 466, 'widthPnts': 109, 'widthMs': 428.1956}, {'halfHeight': 90, 'risingPnt': 359, 'fallingPnt': 447, 'widthPnts': 88, 'widthMs': 345.6992}]",785.6800000000001,754.2528,589.26,428.1956,345.6992,jan-12-2022,0
2,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,2,2,True,0,"[{'Spike': 2, 'Seconds': 2.3335, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 2, 'Seconds': 2.3335, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",594,2.3334696,1.1221713131389581,-0.001065649904538268,0.0,614,2.4120376,1.9676997241920895,0.8455284110531314,78.5680000000002,,,593,593,0.0,1.1204840594382595,1.1204840594382595,,,599,1.2835844620326515,0.01707720371546204,616,1.9475274270386356,-0.0036191843299953064,250.0,982.1,1.0182262498727217,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 598, 'fallingPnt': 804, 'widthPnts': 206, 'widthMs': 809.2504}, {'halfHeight': 20, 'risingPnt': 599, 'fallingPnt': 791, 'widthPnts': 192, 'widthMs': 754.2528}, {'halfHeight': 50, 'risingPnt': 604, 'fallingPnt': 752, 'widthPnts': 148, 'widthMs': 581.4032}, {'halfHeight': 80, 'risingPnt': 609, 'fallingPnt': 713, 'widthPnts': 104, 'widthMs': 408.5536}, {'halfHeight': 90, 'risingPnt': 612, 'fallingPnt': 684, 'widthPnts': 72, 'widthMs': 282.8448}]",809.2504,754.2528,581.4032,408.5536,282.8448,jan-12-2022,0
3,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,3,3,True,0,"[{'Spike': 3, 'Seconds': 3.3234, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 3, 'Seconds': 3.3234, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 0.417<=8'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",846,3.3234264000000002,1.1234964211203566,-0.0020826904684234575,0.0,880,3.456992,2.0037279010686957,0.8802314799483391,133.56559999999985,,,841,843,7.8568,1.1199856655580729,1.127044077226214,0.41703734799908226,,850,1.3124889416640246,0.018945020425675176,882,1.9867448989729337,-0.0033897905634640052,252.0,989.9568,1.0101450891594461,,,19.642,"[{'halfHeight': 10, 'risingPnt': 849, 'fallingPnt': 1077, 'widthPnts': 228, 'widthMs': 895.6752}, {'halfHeight': 20, 'risingPnt': 850, 'fallingPnt': 1035, 'widthPnts': 185, 'widthMs': 726.754}, {'halfHeight': 50, 'risingPnt': 855, 'fallingPnt': 1003, 'widthPnts': 148, 'widthMs': 581.4032}, {'halfHeight': 80, 'risingPnt': 864, 'fallingPnt': 965, 'widthPnts': 101, 'widthMs': 396.7684}, {'halfHeight': 90, 'risingPnt': 869, 'fallingPnt': 935, 'widthPnts': 66, 'widthMs': 259.2744}]",895.6752,726.754,581.4032,396.7684,259.2744,jan-12-2022,0
4,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,4,4,True,0,"[{'Spike': 4, 'Seconds': 4.2977, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 4, 'Seconds': 4.2977, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",1094,4.2976696,1.15910189753949,-0.0010564028613243045,0.0,1129,4.4351636,1.9759306742864702,0.8168287767469802,137.49400000000023,,,1093,1093,0.0,1.161350701819953,1.161350701819953,,,1101,1.3494460187625064,0.016363784439319306,1131,1.964795225637361,-0.0013860328559148695,248.0,974.2432,1.0264377518878243,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 1100, 'fallingPnt': 1307, 'widthPnts': 207, 'widthMs': 813.1788}, {'halfHeight': 20, 'risingPnt': 1101, 'fallingPnt': 1283, 'widthPnts': 182, 'widthMs': 714.9688}, {'halfHeight': 50, 'risingPnt': 1105, 'fallingPnt': 1258, 'widthPnts': 153, 'widthMs': 601.0452}, {'halfHeight': 80, 'risingPnt': 1115, 'fallingPnt': 1212, 'widthPnts': 97, 'widthMs': 381.0548}, {'halfHeight': 90, 'risingPnt': 1121, 'fallingPnt': 1183, 'widthPnts': 62, 'widthMs': 243.5608}]",813.1788,714.9688,601.0452,381.0548,243.5608,jan-12-2022,0
5,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,5,5,True,0,"[{'Spike': 5, 'Seconds': 5.2916, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 5, 'Seconds': 5.2916, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",1347,5.2915548,1.1435797785021213,-5.8102398226046736e-05,0.0,1392,5.4683328,1.9662632049541333,0.822683426452012,176.77799999999965,,,1346,1346,0.0,1.1421337975863253,1.1421337975863253,,,1351,1.2926537167835965,0.014219900049571101,1394,1.946771912063165,-0.0032457190496202864,253.0,993.8852,1.0061524208228476,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 1350, 'fallingPnt': 1569, 'widthPnts': 219, 'widthMs': 860.3196}, {'halfHeight': 20, 'risingPnt': 1352, 'fallingPnt': 1539, 'widthPnts': 187, 'widthMs': 734.6108}, {'halfHeight': 50, 'risingPnt': 1357, 'fallingPnt': 1507, 'widthPnts': 150, 'widthMs': 589.26}, {'halfHeight': 80, 'risingPnt': 1364, 'fallingPnt': 1460, 'widthPnts': 96, 'widthMs': 377.1264}, {'halfHeight': 90, 'risingPnt': 1368, 'fallingPnt': 1430, 'widthPnts': 62, 'widthMs': 243.5608}]",860.3196,734.6108,589.26,377.1264,243.5608,jan-12-2022,0
6,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,6,6,True,0,"[{'Spike': 6, 'Seconds': 6.2776, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 6, 'Seconds': 6.2776, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",1598,6.2775832000000005,1.1905856305498645,-0.0009664441841786629,0.0,1674,6.5761416,1.9448185486732352,0.7542329181233707,298.5583999999992,,,1597,1597,0.0,1.1965173929292874,1.1965173929292874,,,1601,1.2952805150937408,0.012903434205087484,1676,1.9283769910918291,-0.0018935174690175329,251.0,986.0284,1.014169571586376,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 1601, 'fallingPnt': 1817, 'widthPnts': 216, 'widthMs': 848.5344}, {'halfHeight': 20, 'risingPnt': 1602, 'fallingPnt': 1791, 'widthPnts': 189, 'widthMs': 742.4676000000001}, {'halfHeight': 50, 'risingPnt': 1608, 'fallingPnt': 1762, 'widthPnts': 154, 'widthMs': 604.9736}, {'halfHeight': 80, 'risingPnt': 1615, 'fallingPnt': 1722, 'widthPnts': 107, 'widthMs': 420.3388}, {'halfHeight': 90, 'risingPnt': 1620, 'fallingPnt': 1700, 'widthPnts': 80, 'widthMs': 314.272}]",848.5344,742.4676000000001,604.9736,420.3388,314.272,jan-12-2022,0
7,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,7,7,True,0,"[{'Spike': 7, 'Seconds': 7.2636, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 7, 'Seconds': 7.2636, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",1849,7.2636116,1.1841415183154422,-0.00019298364140019975,0.0,1888,7.4168192,1.9256581779646973,0.7415166596492551,153.2076,,,1848,1848,0.0,1.1842780030182745,1.1842780030182745,,,1852,1.2886450404250178,0.014038024902688618,1890,1.9138157054390446,-0.0019460372337125075,251.0,986.0284,1.014169571586376,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 1852, 'fallingPnt': 2073, 'widthPnts': 221, 'widthMs': 868.1764000000001}, {'halfHeight': 20, 'risingPnt': 1853, 'fallingPnt': 2044, 'widthPnts': 191, 'widthMs': 750.3244}, {'halfHeight': 50, 'risingPnt': 1859, 'fallingPnt': 2015, 'widthPnts': 156, 'widthMs': 612.8304}, {'halfHeight': 80, 'risingPnt': 1865, 'fallingPnt': 1977, 'widthPnts': 112, 'widthMs': 439.9808}, {'halfHeight': 90, 'risingPnt': 1868, 'fallingPnt': 1959, 'widthPnts': 91, 'widthMs': 357.4844}]",868.1764000000001,750.3244,612.8304,439.9808,357.4844,jan-12-2022,0
8,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,8,8,True,0,"[{'Spike': 8, 'Seconds': 8.2457, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 8, 'Seconds': 8.2457, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",2099,8.2457116,1.1780704327298352,-0.0014688089460059967,0.0,2156,8.4696304,1.9125944393719327,0.7345240066420975,223.91879999999986,,,2098,2098,0.0,1.1806861135685185,1.1806861135685185,,,2112,1.6283230595281453,0.012396125070758367,2158,1.8978200294258172,-0.002774539618460732,250.0,982.1,1.0182262498727217,,,3.9284,"[{'halfHeight': 10, 'risingPnt': 2103, 'fallingPnt': 2303, 'widthPnts': 200, 'widthMs': 785.6800000000001}, {'halfHeight': 20, 'risingPnt': 2105, 'fallingPnt': 2289, 'widthPnts': 184, 'widthMs': 722.8256}, {'halfHeight': 50, 'risingPnt': 2111, 'fallingPnt': 2264, 'widthPnts': 153, 'widthMs': 601.0452}, {'halfHeight': 80, 'risingPnt': 2117, 'fallingPnt': 2231, 'widthPnts': 114, 'widthMs': 447.8376}, {'halfHeight': 90, 'risingPnt': 2129, 'fallingPnt': 2210, 'widthPnts': 81, 'widthMs': 318.2004}]",785.6800000000001,722.8256,601.0452,447.8376,318.2004,jan-12-2022,0
9,20210803a,20210803a,220110n_0003.tif,mv,,,Control,0,9,9,True,0,"[{'Spike': 9, 'Seconds': 9.2317, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 9, 'Seconds': 9.2317, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 1.801<=8'}, {'Spike': 9, 'Seconds': 9.2317, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:801.3936 searching for Vm:1.1 from peak sec 9.5'}, {'Spike': 9, 'Seconds': 9.2317, 'Type': 'Spike Width', 'Details': 'Half width 20 error in ""falling point"" with halfWidthWindow_ms:801.3936 searching for Vm:1.19 from peak sec 9.5'}, {'Spike': 9, 'Seconds': 9.2317, 'Type': 'Spike Width', 'Details': 'Half width 50 error in ""falling point"" with halfWidthWindow_ms:801.3936 searching for Vm:1.46 from peak sec 9.5'}]",0.0,1.41,0,"[10, 20, 50, 80, 90]",2350,9.23174,1.0129911202153472,-0.00014394420571382105,0.0,2419,9.5027996,1.91523637636662,0.9022452561512728,271.0595999999992,,,2342,2345,11.7852,1.0099461157447047,1.013487858301912,1.8010702620093688,,2354,1.1561938508555716,0.014264583482761094,2421,1.9067123508011665,-0.0011178840861312707,251.0,986.0284,1.014169571586376,,,35.3556,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 50, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 80, 'risingPnt': 2372, 'fallingPnt': 2486, 'widthPnts': 114, 'widthMs': 447.8376}, {'halfHeight': 90, 'risingPnt': 2376, 'fallingPnt': 2467, 'widthPnts': 91, 'widthMs': 357.4844}]",,,,447.8376,357.4844,jan-12-2022,0
